gvkey,datadate,fyearq,fqtr,indfmt,consol,popsrc,datafmt,curcdq,datacqtr,datafqtr,dlcq,dlttq,costat
002055,2010-03-31,2010,1,INDL,C,D,STD,USD,2010Q1,2010Q1,48.0000,6296.0000,A
002055,2010-06-30,2010,2,INDL,C,D,STD,USD,2010Q2,2010Q2,17.0000,7021.0000,A
002055,2010-09-30,2010,3,INDL,C,D,STD,USD,2010Q3,2010Q3,295.0000,6673.0000,A
002055,2010-12-31,2010,4,INDL,C,D,STD,USD,2010Q4,2010Q4,14.0000,6678.0000,A
002055,2011-03-31,2011,1,INDL,C,D,STD,USD,2011Q1,2011Q1,14.0000,6772.0000,A
002055,2011-06-30,2011,2,INDL,C,D,STD,USD,2011Q2,2011Q2,130.0000,13229.0000,A
002055,2011-09-30,2011,3,INDL,C,D,STD,USD,2011Q3,2011Q3,198.0000,13185.0000,A
002055,2011-12-31,2011,4,INDL,C,D,STD,USD,2011Q4,2011Q4,196.0000,13173.0000,A
002055,2012-03-31,2012,1,INDL,C,D,STD,USD,2012Q1,2012Q1,1245.0000,12145.0000,A
002055,2012-06-30,2012,2,INDL,C,D,STD,USD,2012Q2,2012Q2,1295.0000,12628.0000,A
002055,2012-09-30,2012,3,INDL,C,D,STD,USD,2012Q3,2012Q3,1299.0000,12642.0000,A
002055,2012-12-31,2012,4,INDL,C,D,STD,USD,2012Q4,2012Q4,1848.0000,12095.0000,A
002055,2013-03-31,2013,1,INDL,C,D,STD,USD,2013Q1,2013Q1,694.0000,14104.0000,A
002055,2013-06-30,2013,2,INDL,C,D,STD,USD,2013Q2,2013Q2,1370.0000,14423.0000,A
002055,2013-09-30,2013,3,INDL,C,D,STD,USD,2013Q3,2013Q3,861.0000,14571.0000,A
002055,2013-12-31,2013,4,INDL,C,D,STD,USD,2013Q4,2013Q4,179.0000,12901.0000,A
002055,2014-03-31,2014,1,INDL,C,D,STD,USD,2014Q1,2014Q1,180.0000,12991.0000,A
002055,2014-06-30,2014,2,INDL,C,D,STD,USD,2014Q2,2014Q2,187.0000,12973.0000,A
002055,2014-09-30,2014,3,INDL,C,D,STD,USD,2014Q3,2014Q3,209.0000,12885.0000,A
002055,2014-12-31,2014,4,INDL,C,D,STD,USD,2014Q4,2014Q4,333.0000,12748.0000,A
002055,2015-03-31,2015,1,INDL,C,D,STD,USD,2015Q1,2015Q1,298.0000,12605.0000,A
002055,2015-06-30,2015,2,INDL,C,D,STD,USD,2015Q2,2015Q2,462.0000,12361.0000,A
002055,2015-09-30,2015,3,INDL,C,D,STD,USD,2015Q3,2015Q3,1038.0000,11283.0000,A
002055,2015-12-31,2015,4,INDL,C,D,STD,USD,2015Q4,2015Q4,203.0000,9765.0000,A
002055,2016-03-31,2016,1,INDL,C,D,STD,USD,2016Q1,2016Q1,186.0000,8940.0000,A
002055,2016-06-30,2016,2,INDL,C,D,STD,USD,2016Q2,2016Q2,175.0000,8825.0000,A
002055,2016-09-30,2016,3,INDL,C,D,STD,USD,2016Q3,2016Q3,153.0000,8386.0000,A
002055,2016-12-31,2016,4,INDL,C,D,STD,USD,2016Q4,2016Q4,143.0000,7788.0000,A
002055,2017-03-31,2017,1,INDL,C,D,STD,USD,2017Q1,2017Q1,120.0000,7633.0000,A
002055,2017-06-30,2017,2,INDL,C,D,STD,USD,2017Q2,2017Q2,116.0000,7328.0000,A
002055,2017-09-30,2017,3,INDL,C,D,STD,USD,2017Q3,2017Q3,63.0000,6384.0000,A
002055,2017-12-31,2017,4,INDL,C,D,STD,USD,2017Q4,2017Q4,59.0000,6364.0000,A
002055,2018-03-31,2018,1,INDL,C,D,STD,USD,2018Q1,2018Q1,57.0000,6344.0000,A
002055,2018-06-30,2018,2,INDL,C,D,STD,USD,2018Q2,2018Q2,680.0000,5712.0000,A
002055,2018-09-30,2018,3,INDL,C,D,STD,USD,2018Q3,2018Q3,49.0000,5696.0000,A
002055,2018-12-31,2018,4,INDL,C,D,STD,USD,2018Q4,2018Q4,43.0000,5695.0000,A
002055,2019-03-31,2019,1,INDL,C,D,STD,USD,2019Q1,2019Q1,308.0000,5499.0000,A
002055,2019-06-30,2019,2,INDL,C,D,STD,USD,2019Q2,2019Q2,303.0000,5504.0000,A
002055,2019-09-30,2019,3,INDL,C,D,STD,USD,2019Q3,2019Q3,66.0000,5494.0000,A
002055,2019-12-31,2019,4,INDL,C,D,STD,USD,2019Q4,2019Q4,375.0000,5161.0000,A
002055,2020-03-31,2020,1,INDL,C,D,STD,USD,2020Q1,2020Q1,29.0000,5150.0000,A
002055,2020-06-30,2020,2,INDL,C,D,STD,USD,2020Q2,2020Q2,26.0000,5142.0000,A
002055,2020-09-30,2020,3,INDL,C,D,STD,USD,2020Q3,2020Q3,21.0000,5140.0000,A
002055,2020-12-31,2020,4,INDL,C,D,STD,USD,2020Q4,2020Q4,20.0000,5344.0000,A
002055,2021-03-31,2021,1,INDL,C,D,STD,USD,2021Q1,2021Q1,13.0000,5140.0000,A
002055,2021-06-30,2021,2,INDL,C,D,STD,USD,2021Q2,2021Q2,15.0000,5137.0000,A
002055,2021-09-30,2021,3,INDL,C,D,STD,USD,2021Q3,2021Q3,15.0000,5139.0000,A
002055,2021-12-31,2021,4,INDL,C,D,STD,USD,2021Q4,2021Q4,24.0000,5449.0000,A
002055,2022-03-31,2022,1,INDL,C,D,STD,USD,2022Q1,2022Q1,14.0000,5130.0000,A
002055,2022-06-30,2022,2,INDL,C,D,STD,USD,2022Q2,2022Q2,13.0000,5131.0000,A
002055,2022-09-30,2022,3,INDL,C,D,STD,USD,2022Q3,2022Q3,12.0000,5083.0000,A
002055,2022-12-31,2022,4,INDL,C,D,STD,USD,2022Q4,2022Q4,45.0000,5205.0000,A
002055,2023-03-31,2023,1,INDL,C,D,STD,USD,2023Q1,2023Q1,12.0000,4765.0000,A
002055,2023-06-30,2023,2,INDL,C,D,STD,USD,2023Q2,2023Q2,13.0000,4761.0000,A
002055,2023-09-30,2023,3,INDL,C,D,STD,USD,2023Q3,2023Q3,8.0000,4767.0000,A
002055,2023-12-31,2023,4,INDL,C,D,STD,USD,2023Q4,2023Q4,43.0000,5180.0000,A
002055,2024-03-31,2024,1,INDL,C,D,STD,USD,2024Q1,2024Q1,12.0000,4713.0000,A
002055,2024-06-30,2024,2,INDL,C,D,STD,USD,2024Q2,2024Q2,11.0000,4713.0000,A
002055,2024-09-30,2024,3,INDL,C,D,STD,USD,2024Q3,2024Q3,13.0000,4712.0000,A
002055,2024-12-31,2024,4,INDL,C,D,STD,USD,2024Q4,2024Q4,84.0000,5172.0000,A
